KENYA MSME DIGITAL LENDING — UNIT ECONOMICS BENCHMARKING,,,,,,,,,,,,
Five-Player Comparative Analysis | Anchor Date: December 2023 | Post-CBK Digital Credit Provider (DCP) Regulatory Framework,,,,,,,,,,,,
,,,,,,,,,,,,
Player,"Regulatory
Tier","CBK DCP
Status","Avg Loan
Size (KES)","Effective
APR","NPL / Default
Rate (Dec '23
anchor)","Funding
Model","Primary
Funding Source","Revenue
Sustainability
(1–5)","Ambition–
Execution
Alignment (1–5)","Regulatory
Adaptation
Score (1–5)","Data
Quality","Vintage
Note"
"KCB M-Pesa
(KCB Bank Kenya)","Tier 1
Outside DCP
Framework","N/A — Banking Act
(Excl. Reg. 2a)","~KES 50–
1,000,000","~18–36%
(bank rate)","No product-specific
figure. Proxy: 15.6%
(banking sector NPL)","Balance Sheet —
Bank Product","Customer deposits
(KCB Bank)",5,4,5,"Mixed
(range + proxy)","Dec 2023
(sector proxy)"
"4G Capital
(Fourth Generation
Capital Ltd)","Tier 2
Thrives — Proven
at Scale","_ Licensed
DCP #18","KES 5,000–
500,000 (UPIA)","Not disclosed
(loyalty-tiered,
no hidden fees)","5%
(92–97% on-time;
timing caveat)","Balance Sheet —
Local currency debt","I&M Bank, Citi,
Dry Associates,
LGT Lightrock (eq.)",5,5,5,"Strong
(impact data)","Reported post-
Dec 2023; treated
as representative"
"Pezesha
Africa Ltd","Tier 2.5
Thrives — Recovered
& Unproven Funding","_ Licensed
DCP #44","KES 35,600 avg
(KES 5K–5M range)","~24–58%
(2–4%/mo)","4% (2024 Impact
Report). Was 22%
mid-2022 — recovered
post-restructuring","Embedded
Marketplace","Equity ($11M
pre-Series A) +
DFC TA grant ($500K)",4,5,5,"Strong
(model + pricing +
historical context)","Pre-crisis: mid-2022
Post-recovery: 2024
(treated as Dec '23
proxy)"
"Tala
(Inventure
Mobile Ltd)","Tier 3
Survives Under
Pressure","_ Licensed
DCP #21","KES 17,000
(avg, Kenya)","≥109.5%
(0.3%/day floor)","12.4%
(CBK Q3 2023 —
hard, dated figure)","Balance Sheet —
VC-funded","VC equity
($145M+ raised)",3,1,3,"Strong
(CBK + own reports)","Q3 2023 —
directly within
Dec '23 anchor"
"Zenka Digital Ltd
(Sun Finance Group)","Tier 4
Regulator-Forced
Correction","_ Licensed
DCP #57
(Mar 2023)","KES 500–
200,000","30%–4,432%
(risk-based)","Not disclosed.
'No significant
changes' (Dec 20,
'23 self-report)","Balance Sheet —
Foreign consumer
lending group","Sun Finance Group
(acq. 2023)",1,1,2,"Strong on
regulatory record;
NPL undisclosed","Write-off:
Nov 23, 2022
(confirmed)"
"Lipa Later Ltd
[CAUTIONARY CASE]","Excluded —
Entered
Administration 2025","Was Licensed
DCP #27",—,—,—,"Was: Balance Sheet
/ BNPL","VC equity
($12M Series A, 2022)",—,—,—,"Excluded from
recommendation","2025 outcome
(post-dates main
analysis)"
SECTOR BENCHMARKS (Dec 2023 / nearest available),,,—,—,"Banking sector: 15.6%
(Dec 2023)
MFBs: 32.9% (Jun 2023)
Households: 16.6%
(2024 FinAccess)
Fuliza: 8.2%","32 licensed DCPs
(end 2023)","288 applicants;
96% rejected initially",—,—,—,—,—
,,,,,,,,,,,,
DATA QUALITY KEY,,"Hard data — cited, dated",,Estimated / timing caveat,,Not found / n.d.,,,,,,
SCORE KEY,,4–5  Advantaged,,3  Neutral,,1–2  Pressured,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
